stride,names,match_data
P_4002_R_stride3,P_4002_R_stride3_fn499|P_4002_R_stride3_fn347,P_4002_R_stride3_fn499
P_4111_L_stride60,P_4111_L_stride60_fn8129|P_4111_L_stride60_fn8135,P_4111_L_stride60_fn8135
P_4111_R_stride60,P_4111_R_stride60_fn8062|P_4111_R_stride60_fn8068,P_4111_R_stride60_fn8068
P_4158_L_stride83,P_4158_L_stride83_fn11794|P_4158_L_stride83_fn11801,P_4158_L_stride83_fn11801
P_4158_R_stride15,P_4158_R_stride15_fn2182|P_4158_R_stride15_fn2190,P_4158_R_stride15_fn2190
P_4158_R_stride16,P_4158_R_stride16_fn2327|P_4158_R_stride16_fn2335,P_4158_R_stride16_fn2335
P_4158_R_stride35,P_4158_R_stride35_fn5047|P_4158_R_stride35_fn5053,P_4158_R_stride35_fn5053
P_4158_R_stride43,P_4158_R_stride43_fn6194|P_4158_R_stride43_fn6200,P_4158_R_stride43_fn6200
P_4158_R_stride55,P_4158_R_stride55_fn7919|P_4158_R_stride55_fn7925,P_4158_R_stride55_fn7925
P_4158_R_stride74,P_4158_R_stride74_fn10598|P_4158_R_stride74_fn10604,P_4158_R_stride74_fn10604
P_4159_L_stride18,P_4159_L_stride18_fn2596|P_4159_L_stride18_fn2600,P_4159_L_stride18_fn2600
P_4173_R_stride3,P_4173_R_stride3_fn423|P_4173_R_stride3_fn431,P_4173_R_stride3_fn431
P_4173_R_stride4,P_4173_R_stride4_fn570|P_4173_R_stride4_fn561,P_4173_R_stride4_fn570
P_4230_R_stride19,P_4230_R_stride19_fn2642|P_4230_R_stride19_fn2639,P_4230_R_stride19_fn2642
P_4243_L_stride27,P_4243_L_stride27_fn4161|P_4243_L_stride27_fn4158,P_4243_L_stride27_fn4161
P_4249_R_stride63,P_4249_R_stride63_fn9009|P_4249_R_stride63_fn9006,P_4249_R_stride63_fn9009
P_4283_R_stride86,P_4283_R_stride86_fn11931|P_4283_R_stride86_fn11924,P_4283_R_stride86_fn11931
P_4284_R_stride82,P_4284_R_stride82_fn11877|P_4284_R_stride82_fn11872,P_4284_R_stride82_fn11877
